id,artist,date,title,link,venue,city,lineup,lineup_count
2385008_sterac,STERAC,2026-09-10,Basilar Festival 2026,https://ra.co/events/2385008,Barragem da Queimadela,Porto,Afra;Anika Kunst;Decka;DJ Red;Enkō;Fadi Mohem;Luisa;Marcel Dettmann;Montero;P.E.A.R.L.;Richard Akingbehin;ROD;Ruman;Salbany;STERAC;Steve Rachmad;stranger (NL);Substance;Vainqueur;Tasha;Stojche;Tauer;VIL (PT);Temudo;Valody;Z.I.P.P.O;Mareena,27
2433781_prunk,Prunk,2026-09-10,"Defected: Bradley Zero b2b Carl Craig, Ceri, Kellie Allen, Melé, Prunk b2b Caleb Jackson",https://ra.co/events/2433781,Chinois Ibiza,Ibiza,Bradley Zero;Carl Craig;Ceri;Kellie Allen;Melé;Prunk;Caleb Jackson,7
2316185_999999999,999999999,2026-09-11,Voodoo Village 2026,https://ra.co/events/2316185,TBA,Brussels,999999999;&ME;Adrian Mills;Agents Of Time;Anetha;AVAION;Blasha & Allatt;Blck Mamba;Carlita;Cloudy;ØTTA;Deer Jade;Delilah;DJ Tennis;Mita Gami;DVS1;Fiona Kraft;Franky Rizardo;future.666;ÜBERKIKZ;Helena Lauwaert;SAIDAH;Jimi Jules;RY X;JUWLZ;Len Faki;Quest;Mariona;MARRØN;Mathame;meera (NO);Miamor;Monolink;Natascha Polké;Nina Kraviz;NOHR;Nosedrip;Oko Stellar;NTO;OMRI.;Parra for Cuva;PAWSA;Rampue;Riana Holley;RICHE;Sam Alfred;Samm (BE);AJNA;Sinego;Stasi Sanlin;The Blaze;THELMA;Vintage Culture;Young Marco,54
2421460_loukeman,Loukeman,2026-09-11,Cloud 9 Music & Eco-Art Festival,https://ra.co/events/2421460,No.9 Gardens,Ontario,Loukeman;Amelia Holt;Lis Dalton;Kai (TO);moody.cn.man;Critter;lukeanthonybarry,7
2408193_upsammy,upsammy,2026-09-11,"SHTGN'26: 𝐆𝐎𝐎𝐃𝐁𝐘𝐄, 𝐅𝐀𝐑𝐄𝐖𝐄𝐋𝐋 𝐀𝐍𝐃 𝐀𝐌𝐄𝐍 𝐁𝐑𝐄𝐀𝐊",https://ra.co/events/2408193,Areal Kristyna,All,Shed;Synkro;Hatti Vatti;upsammy;Philipp Otterbach;TK27;kletis;COUNT;Mooris;Raphael Kosmos;Equi;Sabzipolo;Vapanda;Møreti,14
2353234_lev-uk,LEV (UK),2026-09-11,Glitterbox,https://ra.co/events/2353234,Amnesia Ibiza,Ibiza,Barbara Tucker;Breakbot;Irfane;Eats Everything;Jamie Love;Krystal Klear;Dimitri From Paris;LEV (UK);Sam Karlson,9
2316185_delilah,Delilah,2026-09-11,Voodoo Village 2026,https://ra.co/events/2316185,TBA,Brussels,999999999;&ME;Adrian Mills;Agents Of Time;Anetha;AVAION;Blasha & Allatt;Blck Mamba;Carlita;Cloudy;ØTTA;Deer Jade;Delilah;DJ Tennis;Mita Gami;DVS1;Fiona Kraft;Franky Rizardo;future.666;ÜBERKIKZ;Helena Lauwaert;SAIDAH;Jimi Jules;RY X;JUWLZ;Len Faki;Quest;Mariona;MARRØN;Mathame;meera (NO);Miamor;Monolink;Natascha Polké;Nina Kraviz;NOHR;Nosedrip;Oko Stellar;NTO;OMRI.;Parra for Cuva;PAWSA;Rampue;Riana Holley;RICHE;Sam Alfred;Samm (BE);AJNA;Sinego;Stasi Sanlin;The Blaze;THELMA;Vintage Culture;Young Marco,54
2399732_oppidan,Oppidan,2026-09-11,District X Festival 2026,https://ra.co/events/2399732,Palmerstown House Estate,Dublin,Chris Stussy;Azyr;blk.;Chloé Caillet;DJ Heartstring;EMA (1);Ewan McVicar;Gaskin;JWY (1);KI/KI;L.P. Rhythm;Mall Grab;MAV666;MPH (1);Nina Kraviz;Oppidan;Route 94;Sammy Virji;Saoirse;Yasmin Gardezi,20
2446027_fkam4a,fka.m4a,2026-09-11,Gegen Gear,https://ra.co/events/2446027,KitKatClub,Berlin,fka.m4a;Spikey Lee;Nymed;BOYCA;Buday;Mar/us,6
2449987_yanamaste,Yanamaste,2026-09-11,"BCCO with Yanamaste, future.666 ",https://ra.co/events/2449987,Schrotty,Cologne,Yanamaste;future.666;CRITICAL ERROR 404;ZAHNATZIN,4
2316185_nosedrip,Nosedrip,2026-09-11,Voodoo Village 2026,https://ra.co/events/2316185,TBA,Brussels,999999999;&ME;Adrian Mills;Agents Of Time;Anetha;AVAION;Blasha & Allatt;Blck Mamba;Carlita;Cloudy;ØTTA;Deer Jade;Delilah;DJ Tennis;Mita Gami;DVS1;Fiona Kraft;Franky Rizardo;future.666;ÜBERKIKZ;Helena Lauwaert;SAIDAH;Jimi Jules;RY X;JUWLZ;Len Faki;Quest;Mariona;MARRØN;Mathame;meera (NO);Miamor;Monolink;Natascha Polké;Nina Kraviz;NOHR;Nosedrip;Oko Stellar;NTO;OMRI.;Parra for Cuva;PAWSA;Rampue;Riana Holley;RICHE;Sam Alfred;Samm (BE);AJNA;Sinego;Stasi Sanlin;The Blaze;THELMA;Vintage Culture;Young Marco,54
2458125_magda,Magda,2026-09-11,SPIELRAUM Weekender: Nexus opening,https://ra.co/events/2458125,CLUB RAUM,Amsterdam,Alienata;Audrey Danza;Ben Sims;Bitter Babe;Blasha & Allatt;DAVE the Drummer;DJ Pete;DJ Stingray 313;Jackie Ong;Jetti;Kwartz;Magda;Mary Lake;Moopie;Om Unit;Serge;TWIENA,17
2426743_kolsch,Kolsch,2026-09-12,Le Jardin Electronique,https://ra.co/events/2426743,TBA - Parc Urban de Lomme / Lille,North,Andhim;Agoria;Friction;Kolsch;Mind Against;T & Sugah;tnt (1);The Prototypes;Vieze Asbak;Vortek's;25EMEHEURE;BIANKA;Elle (IT);Isa Roos;Ivory;HOEHENANGST;Fortune (UK);davyboi;Fenrick;Marie Vaunt;A*S*Y*S (2);Eskha;Schrotthagen;Vladimir Cauchemar;Miss Noa;Midori (Menace),26
2365328_jorisvoorn,Joris Voorn,2026-09-12,elrow Ibiza,https://ra.co/events/2365328,[UNVRS],Ibiza,ATT;Ilario Alicante;Joris Voorn;Tini Gessler,4
2426743_agoria,Agoria,2026-09-12,Le Jardin Electronique,https://ra.co/events/2426743,TBA - Parc Urban de Lomme / Lille,North,Andhim;Agoria;Friction;Kolsch;Mind Against;T & Sugah;tnt (1);The Prototypes;Vieze Asbak;Vortek's;25EMEHEURE;BIANKA;Elle (IT);Isa Roos;Ivory;HOEHENANGST;Fortune (UK);davyboi;Fenrick;Marie Vaunt;A*S*Y*S (2);Eskha;Schrotthagen;Vladimir Cauchemar;Miss Noa;Midori (Menace),26
2366884_skepta,Skepta,2026-09-12,Black Coffee,https://ra.co/events/2366884,Hï Ibiza,Ibiza,Black Coffee;Mahmut Orhan;Kasango;Skepta;SG Lewis;Arielle Free,6
2281919_oguz,OGUZ,2026-09-12,A Day at the Park Festival 2026,https://ra.co/events/2281919,Kralingse Bos,Rotterdam,Baggi Begovic;Ammé;Benny Rodrigues;Bumpr;Claptone;Cher Semain;Eva Vrijdag;Fiene;Fenrick;Housequake;ROOG;Erick E;IOSIO;Marie Vaunt;MENESIX;Michel de Hey;Philou Louzolo;OGUZ;PRADA2000;Prunk;S3PPA;Shermanology,22
2461039_999999999,999999999,2026-09-12,UNREAL NA TOUR: NEW YORK,https://ra.co/events/2461039,Knockdown Center,New York City,KUKO;999999999;Johannes Schuster;JSMN,4
2450132_999999999,999999999,2026-09-12,UNREAL x RUSH,https://ra.co/events/2450132,Knockdown Center,New York City,999999999;KUKO;Johannes Schuster;Winson;Princess Peggie;JSMN,6
2454279_barker,Barker,2026-09-12,"Clubnight - Barker, Rene Wise",https://ra.co/events/2454279,Open Ground,North Rhine-Westphalia,Barker;Rene Wise,2
2449311_bambounou,Bambounou,2026-09-12,Boiler Room: DC,https://ra.co/events/2449311,TBA,Washington DC,Bambounou;Boys Noize;COBRAH;Daria Kolosova;DJ Gigola;Izzy Camina;Mietze Conte;Skin On Skin;Sol Ortega,9
2345415_ysanne,Ysanne,2026-09-12,Waterworks Extended 2026,https://ra.co/events/2345415,The Cause,London,Alex Kassian;babyschön;Bradley Zero;Erol Alkan;Bunney;Chez de Milo;Lukas Wigflex;Christian AB;Craig Richards;Daniel Avery;Dave Harvey;Ellie Stokes;Decius;DJ Koolt;DJ Subaru;dj sweet6teen;Gene On Earth;Dr Banana;Dresden;Ivan Smagghe;Manfredas;Dyed Soundorom;Moxie;Eris Drew;Errol;Shy One;Free Zing;KT;Leon Vynehall;Midland;NIKS;Octo Octa;OK Williams;Skee Mask;Priori;Raresh;Sonja Moonear;Reptant;Scarlett O'Malley;Ysanne;Sofia Kourtesis;Tia Cousins;The Trip;Aba Shanti-I;Anz;Bakey;Mia Koden;Beatrice M.;Simon Scott;Blackeye MC;Fez the Kid;Call Super;Objekt;Carré;Darwin;Decibella;DJ Fuckoff;DJ Storm (2);Double O;Mantra (ES);DjRUM;MC Creed;Dr Dubplate;EMA (1);Fliss Mayo;Jay Carder;LTJ Bukem;Main Phase;Manami;MJK;Moose;Neffa-T;Teki Latex;Novelist;Oppidan;p-rallel;Raji Rags;Ruff Sqwad;SKALAH (UK);Special Request;Sully;Tañ;Tash LC;Tim Reaper,84
2345415_tash-lc,Tash LC,2026-09-12,Waterworks Extended 2026,https://ra.co/events/2345415,The Cause,London,Alex Kassian;babyschön;Bradley Zero;Erol Alkan;Bunney;Chez de Milo;Lukas Wigflex;Christian AB;Craig Richards;Daniel Avery;Dave Harvey;Ellie Stokes;Decius;DJ Koolt;DJ Subaru;dj sweet6teen;Gene On Earth;Dr Banana;Dresden;Ivan Smagghe;Manfredas;Dyed Soundorom;Moxie;Eris Drew;Errol;Shy One;Free Zing;KT;Leon Vynehall;Midland;NIKS;Octo Octa;OK Williams;Skee Mask;Priori;Raresh;Sonja Moonear;Reptant;Scarlett O'Malley;Ysanne;Sofia Kourtesis;Tia Cousins;The Trip;Aba Shanti-I;Anz;Bakey;Mia Koden;Beatrice M.;Simon Scott;Blackeye MC;Fez the Kid;Call Super;Objekt;Carré;Darwin;Decibella;DJ Fuckoff;DJ Storm (2);Double O;Mantra (ES);DjRUM;MC Creed;Dr Dubplate;EMA (1);Fliss Mayo;Jay Carder;LTJ Bukem;Main Phase;Manami;MJK;Moose;Neffa-T;Teki Latex;Novelist;Oppidan;p-rallel;Raji Rags;Ruff Sqwad;SKALAH (UK);Special Request;Sully;Tañ;Tash LC;Tim Reaper,84
2345415_oppidan,Oppidan,2026-09-12,Waterworks Extended 2026,https://ra.co/events/2345415,The Cause,London,Alex Kassian;babyschön;Bradley Zero;Erol Alkan;Bunney;Chez de Milo;Lukas Wigflex;Christian AB;Craig Richards;Daniel Avery;Dave Harvey;Ellie Stokes;Decius;DJ Koolt;DJ Subaru;dj sweet6teen;Gene On Earth;Dr Banana;Dresden;Ivan Smagghe;Manfredas;Dyed Soundorom;Moxie;Eris Drew;Errol;Shy One;Free Zing;KT;Leon Vynehall;Midland;NIKS;Octo Octa;OK Williams;Skee Mask;Priori;Raresh;Sonja Moonear;Reptant;Scarlett O'Malley;Ysanne;Sofia Kourtesis;Tia Cousins;The Trip;Aba Shanti-I;Anz;Bakey;Mia Koden;Beatrice M.;Simon Scott;Blackeye MC;Fez the Kid;Call Super;Objekt;Carré;Darwin;Decibella;DJ Fuckoff;DJ Storm (2);Double O;Mantra (ES);DjRUM;MC Creed;Dr Dubplate;EMA (1);Fliss Mayo;Jay Carder;LTJ Bukem;Main Phase;Manami;MJK;Moose;Neffa-T;Teki Latex;Novelist;Oppidan;p-rallel;Raji Rags;Ruff Sqwad;SKALAH (UK);Special Request;Sully;Tañ;Tash LC;Tim Reaper,84
