endpoint,status_code,success,matched_key_path,example_value
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[15].momentum_score,27
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[16].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[16].stage_score,18
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[16].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[16].momentum_score,31
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[17].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[17].stage_score,18
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[17].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[17].momentum_score,35
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[18].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[18].stage_score,18
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[18].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[18].momentum_score,40
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[19].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[19].stage_score,18
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[19].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[19].momentum_score,44
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[20].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[20].stage_score,18
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[20].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[20].momentum_score,47
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[21].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[21].stage_score,18
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[21].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[21].momentum_score,53
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[22].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[22].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[22].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[22].momentum_score,54
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[23].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[23].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[23].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[23].momentum_score,56
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[24].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[24].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[24].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[24].momentum_score,56
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[25].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[25].stage_score,17
